iter	Passed	Remaining
931	49503	3611
932	49567	3559
933	49636	3507
934	49698	3454
935	49754	3402
936	49811	3349
937	49865	3296
938	49923	3243
939	49978	3190
940	50034	3137
941	50087	3083
942	50139	3030
943	50195	2977
944	50247	2924
945	50300	2871
946	50347	2817
947	50400	2764
948	50455	2711
949	50508	2658
950	50558	2605
951	50607	2551
952	50657	2498
953	50709	2445
954	50761	2391
955	50813	2338
956	50862	2285
957	50916	2232
958	50971	2179
959	51022	2125
960	51071	2072
961	51124	2019
962	51177	1966
963	51232	1913
964	51286	1860
965	51342	1807
966	51390	1753
967	51440	1700
968	51490	1647
969	51542	1594
970	51590	1540
971	51645	1487
972	51695	1434
973	51744	1381
974	51795	1328
975	51849	1274
976	51901	1221
977	51954	1168
978	52007	1115
979	52059	1062
980	52109	1009
981	52166	956
982	52219	903
983	52271	849
984	52318	796
985	52373	743
986	52420	690
987	52475	637
988	52527	584
989	52573	531
990	52624	477
991	52675	424
992	52729	371
993	52782	318
994	52830	265
995	52879	212
996	52930	159
997	52982	106
998	53038	53
999	53090	0
